"wohflaeche";"grundstuecksflaeche";"badezimmer";"schlafzimmer";"baujahr";"garage";"kamin";"pool";"umbau";"preis"
288;791;2;4;1959;"Nein";"Nein";"Nein";"Nein";89745
196;721;2;3;2002;"Ja";"Ja";"Nein";"Nein";132732
197;922;2;3;1954;"Ja";"Nein";"Nein";"Nein";96532
254;1049;1;2;1953;"Ja";"Ja";"Nein";"Nein";105582
137;181;1;2;1976;"Ja";"Nein";"Nein";"Nein";62595
313;1003;2;3;1899;"Ja";"Ja";"Nein";"Ja";120666
198;1081;2;3;2005;"Ja";"Ja";"Nein";"Ja";130470
268;834;2;4;1965;"Ja";"Ja";"Nein";"Nein";133863
236;894;1;3;1950;"Ja";"Nein";"Nein";"Ja";105582
370;1183;3;4;2002;"Ja";"Ja";"Nein";"Nein";207394
165;784;2;3;1968;"Ja";"Nein";"Nein";"Nein";86728
333;1220;3;4;1992;"Ja";"Ja";"Nein";"Nein";273383
226;1130;1;3;1950;"Ja";"Nein";"Nein";"Nein";111239
172;846;1;2;1965;"Ja";"Nein";"Nein";"Nein";88614
191;709;2;2;1952;"Ja";"Nein";"Nein";"Ja";109730
190;1116;2;2;1948;"Ja";"Nein";"Nein";"Ja";110862
125;948;1;2;1938;"Ja";"Nein";"Nein";"Ja";81449
278;895;2;3;1993;"Ja";"Ja";"Nein";"Ja";141782
234;823;1;3;1914;"Ja";"Ja";"Nein";"Ja";108599
276;779;3;3;2003;"Ja";"Nein";"Nein";"Ja";160636
279;451;3;2;2004;"Ja";"Ja";"Nein";"Ja";196082
171;562;1;2;1931;"Ja";"Nein";"Nein";"Ja";94195
246;1642;1;4;1883;"Ja";"Ja";"Nein";"Ja";126699
160;866;2;2;1976;"Nein";"Nein";"Nein";"Nein";75114
121;548;1;2;1922;"Nein";"Nein";"Nein";"Ja";64481
251;1105;3;3;2009;"Ja";"Ja";"Nein";"Nein";165915
160;835;1;3;1972;"Ja";"Nein";"Nein";"Ja";98041
198;158;3;2;1979;"Ja";"Nein";"Nein";"Ja";111917
187;1188;2;2;1951;"Ja";"Nein";"Nein";"Ja";105205
162;1270;2;4;1955;"Ja";"Ja";"Nein";"Nein";105281
180;1011;1;3;1955;"Ja";"Nein";"Nein";"Nein";92385
250;1430;3;3;1998;"Ja";"Nein";"Nein";"Nein";174588
134;149;2;2;1972;"Ja";"Nein";"Nein";"Nein";68629
242;880;3;3;1998;"Ja";"Ja";"Nein";"Nein";161390
201;891;2;3;1910;"Ja";"Nein";"Nein";"Ja";65989
307;1091;3;4;1991;"Ja";"Ja";"Nein";"Ja";198344
258;1135;3;3;2000;"Ja";"Ja";"Nein";"Ja";162144
187;904;2;4;1925;"Ja";"Nein";"Nein";"Ja";79111
271;297;2;2;2005;"Ja";"Ja";"Nein";"Ja";145176
211;196;2;2;2000;"Ja";"Ja";"Nein";"Nein";127076
381;1724;3;3;1980;"Ja";"Ja";"Nein";"Nein";177228
351;1001;3;4;1994;"Ja";"Ja";"Nein";"Nein";183638
243;977;1;3;1954;"Ja";"Nein";"Nein";"Nein";116141
252;972;2;3;2005;"Ja";"Ja";"Nein";"Nein";180923
168;236;3;2;2005;"Ja";"Nein";"Nein";"Ja";112747
181;573;1;2;1925;"Ja";"Ja";"Nein";"Ja";76924
287;745;3;3;2004;"Ja";"Ja";"Nein";"Ja";227002
332;1176;2;4;2005;"Ja";"Ja";"Nein";"Ja";212080
253;1111;2;3;1991;"Ja";"Ja";"Nein";"Ja";177228
186;1026;2;3;2007;"Ja";"Ja";"Nein";"Nein";128207
239;627;3;2;2008;"Ja";"Ja";"Nein";"Nein";150832
204;1054;2;2;1967;"Ja";"Ja";"Nein";"Ja";134240
258;893;2;3;1960;"Ja";"Nein";"Nein";"Nein";106714
241;867;2;3;1963;"Ja";"Nein";"Nein";"Ja";119157
149;415;2;2;2003;"Ja";"Nein";"Nein";"Nein";104828
277;840;2;2;2006;"Ja";"Ja";"Nein";"Nein";200531
195;649;2;3;1925;"Ja";"Ja";"Nein";"Ja";120666
144;669;1;2;1972;"Ja";"Nein";"Nein";"Ja";100982
278;752;2;2;1899;"Ja";"Nein";"Nein";"Ja";79941
460;1034;3;2;2005;"Ja";"Ja";"Nein";"Ja";352947
239;696;3;3;1997;"Ja";"Ja";"Nein";"Ja";144045
271;931;2;3;2003;"Ja";"Ja";"Nein";"Ja";186278
209;830;2;3;2006;"Ja";"Ja";"Nein";"Ja";126548
187;813;2;3;1969;"Ja";"Nein";"Nein";"Nein";111993
300;923;3;3;2007;"Ja";"Nein";"Nein";"Ja";185297
198;662;1;2;1927;"Ja";"Ja";"Nein";"Ja";104074
210;668;2;3;1917;"Ja";"Ja";"Nein";"Ja";117272
384;1181;3;4;2000;"Ja";"Ja";"Nein";"Nein";246610
200;1130;2;4;1925;"Ja";"Nein";"Nein";"Ja";105582
211;870;1;3;1946;"Ja";"Ja";"Nein";"Ja";95778
185;705;1;3;1965;"Ja";"Ja";"Nein";"Nein";116895
264;493;3;2;1986;"Ja";"Ja";"Nein";"Nein";180244
158;411;2;1;2004;"Ja";"Nein";"Nein";"Ja";108599
134;155;1;2;1973;"Ja";"Nein";"Nein";"Nein";67120
174;558;1;3;1959;"Ja";"Nein";"Nein";"Nein";84843
206;891;1;3;1949;"Ja";"Ja";"Nein";"Ja";110862
188;1164;1;3;1968;"Ja";"Nein";"Nein";"Nein";105205
171;816;1;3;1968;"Ja";"Ja";"Nein";"Nein";97437
177;696;1;3;1924;"Ja";"Nein";"Nein";"Ja";85974
198;950;1;3;1927;"Ja";"Nein";"Nein";"Ja";94270
174;780;2;2;1967;"Ja";"Nein";"Nein";"Nein";101435
282;577;2;5;1912;"Ja";"Nein";"Nein";"Ja";89368
230;650;2;3;1910;"Nein";"Nein";"Nein";"Ja";81072
251;2106;2;3;1953;"Ja";"Ja";"Nein";"Nein";98041
517;3321;4;4;1996;"Ja";"Ja";"Nein";"Ja";471350
223;686;2;3;1960;"Ja";"Nein";"Nein";"Ja";113690
211;1003;2;3;1935;"Ja";"Ja";"Nein";"Ja";128207
332;1330;3;4;1997;"Ja";"Ja";"Nein";"Nein";230773
159;485;1;2;1935;"Ja";"Nein";"Nein";"Ja";60333
315;1070;2;3;2006;"Ja";"Ja";"Nein";"Nein";207394
273;1124;2;3;1953;"Ja";"Ja";"Nein";"Ja";117649
239;858;1;4;1962;"Ja";"Ja";"Nein";"Nein";128961
253;666;2;4;1954;"Ja";"Nein";"Nein";"Nein";86728
211;958;2;3;1920;"Ja";"Nein";"Nein";"Ja";105582
314;719;2;4;1917;"Ja";"Nein";"Nein";"Ja";150832
164;1238;3;3;2003;"Ja";"Ja";"Nein";"Nein";139143
292;526;3;2;2000;"Ja";"Ja";"Nein";"Nein";209656
154;913;2;4;1967;"Nein";"Nein";"Nein";"Nein";75416
346;1152;2;4;1980;"Ja";"Ja";"Nein";"Ja";187786
236;711;2;3;1995;"Ja";"Ja";"Nein";"Ja";126699
211;653;2;2;2004;"Ja";"Nein";"Nein";"Nein";132732
240;735;2;3;1999;"Ja";"Ja";"Nein";"Ja";131978
354;1624;3;3;1959;"Ja";"Ja";"Nein";"Ja";252644
198;236;2;2;1977;"Ja";"Nein";"Nein";"Nein";111993
141;185;2;2;1973;"Ja";"Nein";"Nein";"Ja";79187
210;945;2;3;1955;"Ja";"Ja";"Nein";"Ja";115386
179;917;2;3;1971;"Ja";"Nein";"Nein";"Nein";97287
172;1237;1;2;1956;"Ja";"Nein";"Nein";"Ja";99549
216;872;1;3;1951;"Ja";"Nein";"Nein";"Nein";103697
206;246;2;2;1997;"Ja";"Nein";"Nein";"Ja";131224
150;530;1;2;1929;"Ja";"Nein";"Nein";"Ja";82958
259;292;2;2;2003;"Ja";"Ja";"Nein";"Nein";129527
290;916;1;3;1956;"Ja";"Ja";"Nein";"Nein";96155
164;814;1;3;1974;"Ja";"Nein";"Nein";"Nein";111616
284;488;2;4;1872;"Nein";"Nein";"Nein";"Ja";92008
323;1232;3;4;2004;"Ja";"Ja";"Nein";"Ja";218706
305;15298;4;3;1965;"Ja";"Ja";"Nein";"Nein";172665
160;900;1;3;1974;"Ja";"Nein";"Nein";"Nein";90499
215;1064;1;3;1929;"Ja";"Ja";"Nein";"Ja";173457
208;794;2;2;2004;"Ja";"Nein";"Nein";"Ja";105582
446;2056;4;5;1924;"Ja";"Ja";"Nein";"Ja";135749
187;636;2;3;1956;"Ja";"Nein";"Nein";"Nein";98795
208;958;1;3;1905;"Ja";"Nein";"Nein";"Ja";101812
244;944;2;2;1992;"Ja";"Ja";"Nein";"Nein";129338
162;769;1;3;1966;"Ja";"Ja";"Nein";"Nein";47047
283;1208;2;4;1970;"Ja";"Ja";"Nein";"Nein";145930
261;1044;2;3;2001;"Ja";"Nein";"Nein";"Nein";159128
263;1033;2;4;1967;"Ja";"Nein";"Nein";"Nein";138011
237;673;2;2;2005;"Ja";"Nein";"Nein";"Ja";132657
287;1362;2;4;1966;"Ja";"Ja";"Nein";"Ja";171194
192;737;1;3;1954;"Ja";"Nein";"Nein";"Nein";102566
223;644;2;3;2003;"Ja";"Ja";"Nein";"Ja";124738
361;1082;3;6;1969;"Ja";"Nein";"Nein";"Nein";150832
151;341;2;2;2005;"Ja";"Nein";"Nein";"Ja";109730
337;1144;2;1;1983;"Ja";"Ja";"Nein";"Ja";238767
228;570;1;4;1919;"Ja";"Nein";"Nein";"Ja";103697
185;557;1;3;1937;"Ja";"Nein";"Nein";"Ja";96532
167;588;1;2;1875;"Nein";"Nein";"Nein";"Ja";70891
201;757;2;3;1996;"Ja";"Ja";"Nein";"Ja";124436
173;1004;1;3;1977;"Ja";"Nein";"Nein";"Nein";99926
62;838;1;2;1949;"Nein";"Nein";"Nein";"Ja";48191
344;1145;4;4;2005;"Ja";"Ja";"Nein";"Nein";263402
173;203;3;2;1998;"Ja";"Nein";"Nein";"Ja";120666
199;1164;2;3;1972;"Ja";"Ja";"Nein";"Ja";113049
239;837;2;3;1964;"Ja";"Nein";"Nein";"Nein";127076
136;156;1;2;1972;"Ja";"Nein";"Nein";"Nein";77980
286;1273;2;3;2002;"Ja";"Ja";"Nein";"Ja";154603
267;1087;2;2;1970;"Ja";"Ja";"Nein";"Nein";139520
182;634;2;2;1921;"Ja";"Ja";"Nein";"Ja";110484
234;847;2;3;1958;"Ja";"Ja";"Nein";"Nein";122928
187;836;1;3;1959;"Nein";"Nein";"Nein";"Nein";60333
216;210;2;3;1977;"Ja";"Ja";"Nein";"Nein";110107
263;848;3;4;1927;"Ja";"Nein";"Nein";"Ja";138765
224;1272;2;2;1941;"Ja";"Ja";"Nein";"Ja";154603
230;893;1;3;1973;"Ja";"Ja";"Nein";"Nein";132355
184;816;1;3;1996;"Ja";"Nein";"Nein";"Nein";95024
175;155;1;3;1971;"Ja";"Nein";"Nein";"Nein";88991
275;1014;3;3;2004;"Ja";"Ja";"Nein";"Nein";207394
245;558;1;3;1939;"Ja";"Ja";"Nein";"Ja";124361
303;1147;2;4;2002;"Ja";"Ja";"Nein";"Nein";192122
222;781;2;3;2005;"Ja";"Nein";"Nein";"Nein";147665
299;868;2;3;2006;"Ja";"Ja";"Nein";"Nein";187409
320;1064;2;3;2004;"Ja";"Nein";"Nein";"Nein";150832
301;870;3;3;1974;"Ja";"Ja";"Nein";"Nein";160636
286;1587;3;4;1978;"Ja";"Ja";"Nein";"Ja";173457
145;838;1;2;1922;"Ja";"Nein";"Nein";"Ja";82581
250;837;2;4;1974;"Ja";"Nein";"Nein";"Nein";100303
231;1059;1;3;1948;"Ja";"Ja";"Nein";"Ja";98795
227;850;2;3;2005;"Ja";"Ja";"Nein";"Ja";151956
156;195;1;2;1974;"Ja";"Nein";"Nein";"Nein";96910
237;1217;1;3;1940;"Ja";"Ja";"Nein";"Ja";165538
304;1061;2;3;2006;"Ja";"Ja";"Nein";"Nein";188540
261;965;2;3;1980;"Ja";"Ja";"Nein";"Ja";139520
206;774;2;3;2006;"Ja";"Ja";"Nein";"Nein";127208
206;1528;1;3;1956;"Ja";"Nein";"Nein";"Nein";102189
379;4328;3;4;1993;"Ja";"Ja";"Nein";"Ja";303172
323;982;3;4;2003;"Ja";"Ja";"Nein";"Nein";238315
145;584;1;1;1930;"Ja";"Nein";"Nein";"Ja";70778
290;680;3;2;2005;"Ja";"Ja";"Nein";"Nein";209279
202;971;1;3;1952;"Ja";"Ja";"Nein";"Nein";116895
318;989;3;3;2008;"Ja";"Ja";"Nein";"Ja";223986
218;584;2;3;1926;"Ja";"Ja";"Nein";"Ja";109353
162;905;2;3;2004;"Ja";"Nein";"Nein";"Nein";125945
207;817;3;3;1993;"Ja";"Ja";"Nein";"Ja";136741
214;710;2;4;1919;"Nein";"Nein";"Nein";"Ja";71306
249;456;3;2;2000;"Ja";"Nein";"Nein";"Nein";161013
301;443;3;2;1999;"Ja";"Ja";"Nein";"Nein";226248
232;943;2;4;1976;"Ja";"Ja";"Nein";"Nein";122853
206;670;2;4;1910;"Ja";"Nein";"Nein";"Ja";118026
229;351;2;1;1981;"Ja";"Ja";"Nein";"Nein";159505
198;769;2;3;1975;"Ja";"Ja";"Nein";"Nein";118403
336;855;3;4;1991;"Ja";"Ja";"Nein";"Ja";218706
227;850;2;2;1966;"Ja";"Nein";"Nein";"Nein";105582
261;1183;2;3;1973;"Ja";"Ja";"Nein";"Nein";155357
271;1064;3;3;1994;"Ja";"Ja";"Nein";"Nein";169686
272;1167;2;3;2003;"Ja";"Ja";"Nein";"Ja";192235
276;999;2;3;2000;"Ja";"Ja";"Nein";"Nein";169686
227;894;1;3;2006;"Ja";"Nein";"Nein";"Nein";119911
362;1697;4;3;1962;"Ja";"Ja";"Nein";"Ja";209279
162;761;2;2;1913;"Ja";"Nein";"Nein";"Ja";44118
225;390;2;1;2007;"Ja";"Ja";"Nein";"Nein";147061
220;674;2;3;1992;"Ja";"Ja";"Nein";"Nein";125191
163;969;1;3;1985;"Ja";"Nein";"Nein";"Nein";93893
144;782;1;2;1949;"Ja";"Nein";"Nein";"Nein";61841
164;549;1;3;1890;"Nein";"Nein";"Nein";"Ja";71645
267;947;3;4;1974;"Ja";"Ja";"Nein";"Nein";118403
248;553;3;2;1989;"Ja";"Ja";"Nein";"Nein";142159
55;551;1;1;1939;"Ja";"Nein";"Nein";"Ja";33937
353;950;3;4;1994;"Ja";"Ja";"Nein";"Ja";242085
218;961;3;3;1990;"Ja";"Ja";"Nein";"Ja";135673
146;815;1;2;1908;"Nein";"Nein";"Nein";"Ja";64104
174;557;1;2;1938;"Ja";"Nein";"Nein";"Ja";101736
248;906;2;3;1964;"Ja";"Ja";"Nein";"Ja";141028
269;1166;2;3;1981;"Ja";"Ja";"Nein";"Nein";137936
197;851;1;3;1948;"Ja";"Nein";"Nein";"Ja";92460
292;912;3;3;2002;"Ja";"Nein";"Nein";"Nein";171194
224;932;2;3;1968;"Ja";"Nein";"Nein";"Nein";108599
205;819;1;4;1967;"Ja";"Nein";"Nein";"Nein";106337
307;1127;2;3;1998;"Ja";"Nein";"Nein";"Nein";169611
210;1215;1;3;2005;"Nein";"Nein";"Nein";"Nein";107091
266;804;2;3;2000;"Ja";"Ja";"Nein";"Nein";162144
211;278;3;2;2000;"Ja";"Nein";"Nein";"Nein";135749
154;500;1;2;1955;"Ja";"Nein";"Nein";"Ja";88237
329;1099;2;3;1999;"Ja";"Ja";"Nein";"Nein";178359
215;1312;2;3;1964;"Ja";"Ja";"Nein";"Nein";136126
258;1324;2;3;1956;"Ja";"Ja";"Nein";"Nein";135749
191;1089;2;3;1968;"Ja";"Nein";"Nein";"Nein";108184
184;667;2;3;1978;"Ja";"Ja";"Nein";"Nein";121043
307;743;3;2;1994;"Ja";"Nein";"Nein";"Ja";180621
332;1254;3;3;2007;"Ja";"Ja";"Nein";"Nein";244348
204;760;3;3;2005;"Ja";"Ja";"Nein";"Nein";142536
145;643;2;2;1955;"Nein";"Nein";"Nein";"Nein";69307
95;794;2;2;1950;"Ja";"Nein";"Nein";"Nein";70514
204;686;2;3;1955;"Ja";"Nein";"Nein";"Nein";101812
170;723;2;3;1963;"Ja";"Nein";"Nein";"Ja";97287
179;157;2;3;1972;"Ja";"Nein";"Nein";"Nein";84277
235;1005;2;3;1996;"Ja";"Ja";"Nein";"Ja";136503
276;851;2;3;1968;"Ja";"Ja";"Nein";"Nein";140085
239;418;3;2;1997;"Ja";"Nein";"Nein";"Nein";115764
249;579;2;2;2006;"Ja";"Ja";"Nein";"Ja";165538
233;531;3;6;1912;"Nein";"Nein";"Nein";"Ja";102490
221;447;2;2;1917;"Ja";"Nein";"Nein";"Ja";82882
254;955;3;3;2001;"Ja";"Ja";"Nein";"Nein";140651
370;1330;3;2;1994;"Ja";"Ja";"Nein";"Nein";227379
211;472;1;3;1925;"Ja";"Ja";"Nein";"Ja";121420
269;1042;2;3;1992;"Ja";"Ja";"Nein";"Nein";142536
489;1059;3;2;2000;"Ja";"Ja";"Nein";"Ja";351816
170;803;2;2;1964;"Ja";"Nein";"Nein";"Nein";100680
279;923;3;3;1993;"Ja";"Ja";"Nein";"Ja";177982
331;1381;3;3;2003;"Ja";"Ja";"Nein";"Ja";226248
162;665;1;3;1972;"Ja";"Nein";"Nein";"Nein";95778
210;765;1;3;1921;"Ja";"Nein";"Nein";"Ja";75416
245;580;3;2;2007;"Ja";"Ja";"Nein";"Nein";191557
242;964;3;2;1976;"Ja";"Ja";"Nein";"Ja";145063
136;175;1;2;1971;"Ja";"Nein";"Nein";"Nein";75793
353;2421;2;3;1956;"Ja";"Ja";"Nein";"Nein";178359
177;746;2;2;1958;"Ja";"Nein";"Nein";"Ja";108222
296;991;2;3;1971;"Ja";"Ja";"Nein";"Nein";126171
202;947;2;3;1955;"Ja";"Nein";"Nein";"Ja";109278
234;2293;2;3;2001;"Ja";"Ja";"Nein";"Nein";136503
183;571;2;3;1919;"Ja";"Nein";"Nein";"Ja";96532
244;1316;2;3;1956;"Ja";"Ja";"Nein";"Ja";141028
211;1059;1;3;1953;"Ja";"Ja";"Nein";"Ja";113124
205;1161;2;3;1958;"Ja";"Ja";"Nein";"Nein";106337
106;748;1;4;1945;"Nein";"Nein";"Nein";"Ja";72399
